"student_id","school_id","class_id","region","school_type","class_size","school_resources","class_climate_mean","age","grade","gender","ses","parent_edu","books_home","language_home","migration_background","special_education_support","gpa_t1","gpa_t2","gpa_t3","math_grade_t1","language_grade_t1","absences_t1","absences_t2","absences_t3","study_hours","screen_time","homework_completion","teacher_rating_effort","se1_t1","se2_t1","se3_t1","se4_t1","se5_t1","se1_t2","se2_t2","se3_t2","se4_t2","se5_t2","se1_t3","se2_t3","se3_t3","se4_t3","se5_t3","anx1_t1","anx2_t1","anx3_t1","anx4_t1","anx5_t1","anx6_t1","anx1_t2","anx2_t2","anx3_t2","anx4_t2","anx5_t2","anx6_t2","anx1_t3","anx2_t3","anx3_t3","anx4_t3","anx5_t3","anx6_t3","bel1_t1","bel2_t1","bel3_t1","bel4_t1","bel5_t1","bel1_t2","bel2_t2","bel3_t2","bel4_t2","bel5_t2","bel1_t3","bel2_t3","bel3_t3","bel4_t3","bel5_t3","mast1_t1","mast2_t1","mast3_t1","mast4_t1","mast5_t1","ts1_t1","ts2_t1","ts3_t1","ts4_t1","ts5_t1","abil1","abil2","abil3","abil4","abil5","abil6","abil7","abil8","abil9","abil10","abil11","abil12","att_acc","att_rt_inv","att_inhibit","att_switch","missing_any_t1","missing_any_t2","missing_any_t3","dropout_t2","dropout_t3","planned_missing_form"
11,"S01","C001","South","vocational",17,-1.442,-1.742,17.6,12,"girl",-0.172,2,3,"majority_language",0,0,6.1,5.9,,7.2,6.9,24,7,,4.8,2,1,48.4,2,3,,3,3,3,2,4,,,,,,,,,3,2,2,4,3,3,3,5,5,5,3,,,,,,,2,1,2,2,2,2,2,3,3,,,,,,,3,4,3,1,4,2,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0.773,0.09,64.3,51.6,1,1,1,0,1,"C"
12,"S01","C001","South","vocational",17,-1.442,-1.742,17.4,12,"girl",-1.185,,3,"other_language",0,0,5.5,5.4,6.9,6.3,5.2,1,14,13,4.7,5.2,3,43.8,2,2,3,4,2,3,3,3,3,5,2,,2,3,3,4,2,3,3,3,3,4,3,3,2,2,1,4,5,3,2,5,3,2,2,1,2,2,3,5,4,1,5,3,5,4,2,1,3,2,2,2,2,3,5,2,,2,,1,1,1,0,1,0,0,0,0,0,0,0.607,-0.617,27.2,39.2,1,0,1,0,0,"A"
13,"S01","C001","South","vocational",17,-1.442,-1.742,17.6,12,"boy",0.807,4,4,"majority_language",0,0,7.4,7.4,7,6.8,8,9,1,1,4.2,4.3,1,47.5,3,2,3,4,,3,2,2,4,4,3,3,1,4,4,2,4,2,2,3,2,5,3,4,3,1,5,4,4,4,2,3,4,4,2,2,4,3,5,5,3,4,3,3,4,2,2,3,4,2,3,3,4,2,4,3,4,1,1,1,1,1,0,1,1,1,1,0,0,0,0.899,0.988,67.2,67.3,1,0,0,0,0,"A"
14,"S01","C001","South","vocational",17,-1.442,-1.742,17.6,12,"girl",-0.864,2,1,"majority_language",0,0,6.6,6.6,6.4,6.2,5.7,10,1,2,6.7,3.6,3,49.1,3,3,4,,3,,3,2,,,2,4,3,3,2,2,,3,3,2,2,2,1,,2,4,2,3,2,3,,,,5,3,2,3,,2,3,2,3,2,2,5,4,3,3,4,4,4,2,4,2,3,2,1,3,0,1,1,,1,0,0,1,0,0,0,0,0.616,-1.406,29.2,48.6,1,1,1,0,0,"C"
15,"S01","C001","South","vocational",17,-1.442,-1.742,17.8,12,"boy",-1.904,1,1,"majority_language",0,0,4.9,5.3,5,5.2,5.3,11,22,6,0.8,6.2,2,31.3,1,4,2,2,3,1,2,,3,1,2,,,,2,2,3,,4,,5,4,4,3,,,,4,4,1,3,4,2,1,1,2,1,2,1,2,1,1,3,1,2,,,,4,,,4,4,2,1,1,2,3,0,1,0,1,0,,0,0,0,0,0,0,0.662,-1.242,37.6,38.8,1,1,1,0,0,"B"
16,"S01","C001","South","vocational",17,-1.442,-1.742,17.5,12,"boy",1.029,4,5,"majority_language",0,0,7.2,7.6,7.3,8,7.7,4,1,6,7,1.8,5,58.7,4,4,5,3,5,,4,2,,,4,4,4,4,4,2,1,1,1,1,2,3,2,3,1,4,3,2,3,3,,,,3,2,3,4,2,1,4,4,1,1,3,2,4,4,,4,5,5,5,5,2,2,1,4,1,1,1,1,1,1,0,1,0,0,1,1,1,0.88,0.261,62.7,80,0,1,1,0,0,"C"
17,"S01","C001","South","vocational",17,-1.442,-1.742,17.5,12,"boy",-0.402,1,2,"majority_language",0,0,6.9,6.8,6.9,6.3,6.9,8,4,4,8.9,5.7,5,53.3,4,5,4,3,4,5,5,4,5,4,5,5,5,5,,3,3,3,4,2,3,2,,3,,,2,2,3,2,,2,2,3,1,2,3,4,2,3,5,2,2,4,,3,2,5,5,5,5,5,4,2,3,2,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0.748,-0.485,48.9,39.1,0,1,1,0,0,"A"
18,"S01","C002","South","vocational",22,-1.442,-0.455,15.1,10,"boy",-0.203,4,2,"majority_language",0,0,6.8,,,7.5,7.2,6,,,4.9,1.3,2,49.1,4,5,3,4,2,,,,,,,,,,,2,4,4,4,3,3,,,,,,,,,,,,,2,,3,2,5,,,,,,,,,,,3,5,3,4,5,2,2,,2,4,0,1,1,1,0,1,1,1,0,0,0,0,0.58,-0.472,60.5,55.6,1,1,1,1,1,"A"
19,"S01","C002","South","vocational",22,-1.442,-0.455,16.1,10,"boy",-0.087,3,5,"majority_language",0,0,7.2,7.3,6.9,7.1,7.2,4,9,3,5.9,4.9,5,53.9,5,4,4,5,4,3,,3,,,3,4,4,5,,1,1,1,1,2,1,1,2,3,3,2,3,1,2,2,,,,5,4,3,4,5,4,4,2,5,2,4,2,2,,3,4,4,3,3,3,4,3,3,5,5,1,1,0,0,1,0,1,0,0,0,1,0,0.765,0.743,58.6,69.5,0,1,1,0,0,"C"
20,"S01","C002","South","vocational",22,-1.442,-0.455,14.9,10,"boy",0.288,3,1,"other_language",0,0,6.3,6.6,6,6.6,6.3,2,3,7,5.4,2.7,2,53.3,3,3,2,3,4,4,3,2,,,3,2,3,2,4,2,1,1,1,3,3,3,3,1,3,4,2,4,,4,,,,3,5,3,4,4,,5,3,5,5,4,4,5,3,5,4,3,3,3,4,4,4,5,4,4,0,1,1,,1,1,0,0,1,0,0,0,0.692,-1.961,38.5,38,1,1,1,0,0,"C"
21,"S01","C002","South","vocational",22,-1.442,-0.455,15.7,10,"boy",-0.413,2,4,"other_language",1,0,6.4,6.8,6.2,7.4,7.2,1,2,8,6.7,6.6,2,47.7,4,2,4,4,4,1,3,4,3,2,4,3,4,2,3,1,1,3,4,4,3,4,3,2,5,4,3,3,1,2,2,2,4,3,3,5,3,3,3,2,2,3,4,1,4,2,1,3,3,2,4,3,2,4,2,2,4,2,1,1,1,1,1,1,0,0,0,1,0,1,,,,,1,0,0,0,0,"A"
22,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"girl",-0.37,2,3,"majority_language",0,0,5.8,,,5.7,5.7,4,,,8,2.7,3,44.9,2,3,2,2,3,,,,,,,,,,,5,5,,,4,4,,,,,,,,,,,,,4,5,5,3,5,,,,,,,,,,,3,4,3,5,2,4,4,4,4,4,0,1,1,1,0,1,0,0,0,1,0,0,,,,,1,1,1,1,1,"B"
23,"S01","C002","South","vocational",22,-1.442,-0.455,15.5,10,"boy",0.069,2,2,"majority_language",0,0,6.8,6.3,7.6,6,7,9,5,0,12.2,3.2,4,54.8,5,5,4,4,5,,5,5,,,4,2,5,,5,2,1,3,1,1,,1,1,1,2,1,2,2,3,2,,,,2,5,3,1,5,4,4,4,3,5,4,5,3,4,4,4,5,4,4,4,3,3,4,4,4,1,0,1,0,0,,0,0,0,0,0,0,0.913,0.729,52.4,47.7,1,1,1,0,0,"C"
24,"S01","C002","South","vocational",22,-1.442,-0.455,15.6,10,"boy",-0.444,2,4,"majority_language",0,0,7.5,,,8.1,5.7,1,,,3.2,3.5,5,47.1,4,3,5,3,4,,,,,,,,,,,2,3,2,2,5,4,,,,,,,,,,,,,3,3,3,2,3,,,,,,,,,,,3,3,4,4,3,2,2,2,3,3,1,0,0,1,1,0,,0,1,0,1,0,0.837,0.166,62.5,49.9,1,1,1,1,1,"B"
25,"S01","C002","South","vocational",22,-1.442,-0.455,15.9,10,"boy",0.251,5,3,"majority_language",0,0,6.9,6.7,7.2,8.2,6.3,1,14,8,2.2,4.8,2,46.5,5,3,3,5,3,3,4,4,2,4,3,3,5,,4,3,,1,2,3,1,2,2,2,,,,3,,4,4,3,4,1,1,1,2,3,1,2,1,3,1,3,2,1,,,3,2,,3,5,2,1,1,1,2,1,1,1,1,1,1,1,0,0,1,0,,0.939,1.115,48.9,70.3,1,1,1,0,0,"B"
26,"S01","C002","South","vocational",22,-1.442,-0.455,15.7,10,"boy",-1.577,1,3,"majority_language",0,0,5.7,,,7.4,5.9,4,,,0.5,6.6,3,35.6,3,2,2,3,3,,,,,,,,,,,3,2,3,3,3,2,,,,,,,,,,,,,2,,2,4,2,,,,,,,,,,,4,2,3,5,3,2,3,,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0.713,-0.618,45,40.7,1,1,1,1,1,"A"
27,"S01","C002","South","vocational",22,-1.442,-0.455,15.5,10,"boy",-0.494,3,1,"other_language",0,0,6.9,,,6.5,6.5,3,,,3,4,1,40.1,2,3,2,2,4,,,,,,,,,,,1,3,3,4,2,1,,,,,,,,,,,,,2,2,2,4,3,,,,,,,,,,,3,1,1,2,3,2,4,,2,4,0,0,0,1,1,0,0,0,0,1,1,1,,,,,1,1,1,1,1,"B"
28,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"boy",0.033,4,4,"other_language",0,0,6,,,6.5,6.8,5,,,3.3,3.5,2,51.8,3,2,3,5,4,,,,,,,,,,,2,2,1,2,2,1,,,,,,,,,,,,,3,2,3,3,4,,,,,,,,,,,3,1,2,1,2,4,3,2,2,2,1,1,1,1,1,1,0,0,1,1,0,1,0.577,-1.136,21,35.4,0,1,1,1,1,"B"
29,"S01","C002","South","vocational",22,-1.442,-0.455,15.7,10,"girl",-0.353,1,2,"majority_language",0,0,7.1,6.9,6.9,7.6,8.5,5,3,3,5.3,4.1,2,51.6,5,4,5,3,5,4,3,5,4,4,4,4,4,4,5,1,1,2,1,2,1,1,1,1,3,3,3,1,1,1,1,1,2,3,3,5,5,1,2,4,5,4,3,5,4,4,5,5,5,4,4,4,5,4,4,5,4,4,0,1,0,1,1,1,0,0,1,0,0,0,0.97,1.226,63.5,59.5,0,0,0,0,0,"A"
30,"S01","C002","South","vocational",22,-1.442,-0.455,15.9,10,"girl",0.302,3,2,"other_language",0,0,7.8,6.9,7.8,6.9,6.7,4,3,1,7.8,0.9,3,47.2,3,4,4,5,4,2,4,2,4,2,2,2,3,,3,2,2,1,,1,2,1,1,2,1,1,1,4,2,2,2,4,3,3,4,3,2,3,2,3,2,3,4,2,2,2,3,1,2,5,4,,5,1,3,2,2,1,1,1,0,1,0,,1,0,0,0,0,0,0.72,-0.223,52.6,58,1,0,1,0,0,"A"
31,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"girl",0.437,4,4,"majority_language",0,0,7.9,7.9,7.8,6.9,7,3,4,3,8.1,5.4,5,51.5,5,5,4,5,5,2,4,5,3,5,3,5,2,3,4,1,2,1,1,1,3,1,2,1,,,,1,3,2,1,2,2,3,3,3,1,2,2,5,4,2,2,3,3,2,,,4,5,5,5,5,1,2,1,,3,1,,0,1,1,1,1,1,1,0,1,0,0.888,1.898,70.6,59.5,1,1,1,0,0,"B"
32,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"boy",-0.247,2,2,"majority_language",0,0,6.7,,,7.4,6.9,6,,,4.4,1.3,3,37.6,3,3,4,4,3,,,,,,,,,,,1,2,2,3,4,2,,,,,,,,,,,,,4,4,4,2,2,,,,,,,,,,,3,,4,5,3,4,3,2,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0.914,-0.021,68,62.3,1,1,1,1,1,"B"
33,"S01","C002","South","vocational",22,-1.442,-0.455,16.2,10,"boy",-0.178,3,2,"majority_language",0,0,6,,,6.3,6.4,3,,,7,1.7,3,46.7,2,5,4,5,3,,,,,,,,,,,2,2,2,2,2,1,,,,,,,,,,,,,4,5,3,5,3,,,,,,,,,,,4,5,4,4,3,2,1,3,2,2,1,0,1,0,0,0,0,0,1,,0,0,,,,,1,1,1,1,1,"C"
34,"S01","C002","South","vocational",22,-1.442,-0.455,15.5,10,"boy",-1.229,2,1,"other_language",0,0,6.8,6.5,5.9,6.4,7,5,1,0,1.3,5.8,1,53.7,5,5,5,3,3,5,5,5,5,3,3,4,3,4,2,3,4,2,2,1,1,1,2,2,,,,,5,2,2,2,2,5,2,4,5,2,2,3,3,5,4,4,4,3,,,4,2,1,4,3,2,,4,2,2,1,0,,1,0,0,1,0,0,0,0,0,0.35,-0.73,37.1,20,1,1,1,0,0,"B"
35,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"boy",-0.1,4,4,"majority_language",0,0,6,5.6,,6.3,6.4,9,8,,7.1,2.1,1,50.4,4,4,4,4,,2,4,4,5,4,,,,,,3,2,1,2,4,2,2,1,2,,,,,,,,,,2,2,,2,3,3,4,,,3,,,,,,2,1,3,3,3,5,4,4,3,2,0,1,0,,0,0,0,0,0,0,0,0,0.704,-0.203,55.4,62.8,1,1,1,0,1,"B"
36,"S01","C002","South","vocational",22,-1.442,-0.455,15.7,10,"boy",-1.157,2,1,"majority_language",1,0,7,6.2,6,5.6,7.7,13,4,1,6.3,3.1,2,48.4,4,,4,,3,4,4,,2,4,3,,3,4,4,3,4,,2,3,3,2,2,3,3,2,3,1,2,1,2,,1,5,3,4,4,4,4,5,4,4,3,4,3,2,3,2,5,3,4,5,2,4,4,3,4,5,1,1,0,1,0,0,0,0,0,0,0,0,0.801,-0.833,39,47,1,1,1,0,0,"A"
37,"S01","C002","South","vocational",22,-1.442,-0.455,15.8,10,"boy",0.257,4,5,"majority_language",0,1,6.5,5.7,6.3,7.5,6.5,1,9,0,2.6,4,2,47.2,2,2,2,3,3,2,2,2,4,3,2,2,3,2,3,3,4,3,3,5,2,2,2,3,,,,4,1,3,3,3,1,3,4,2,3,3,4,4,3,4,3,4,4,3,,,,4,4,3,4,3,3,4,2,3,1,1,1,1,0,1,1,1,1,0,1,0,0.683,1.329,51.1,49.6,1,1,1,0,0,"B"
38,"S01","C002","South","vocational",22,-1.442,-0.455,16.1,10,"boy",-1.769,1,2,"majority_language",0,0,5.7,6.1,5.6,6.5,8.1,6,5,5,7.2,4.9,1,50.4,3,2,4,3,3,4,4,5,,,4,,4,5,4,3,2,2,3,2,3,2,3,3,1,3,,2,3,2,,,,3,3,3,5,4,4,5,4,3,4,5,5,5,4,5,,5,3,4,4,3,2,3,1,1,1,1,0,1,1,1,,0,0,0,0,1,0.64,0.18,42.8,45.5,1,1,1,0,0,"C"
39,"S01","C002","South","vocational",22,-1.442,-0.455,15.6,10,"girl",0.011,3,4,"majority_language",0,0,6.6,6.1,6.2,6.9,7.2,3,1,3,4.7,1.5,5,59.7,4,4,3,5,5,4,4,2,,,5,4,5,4,4,3,2,1,2,1,2,2,1,2,2,2,1,3,1,2,,,,5,4,3,3,4,2,3,,5,5,3,3,1,3,3,4,3,3,3,4,4,4,4,4,5,0,,,1,0,0,0,0,0,0,0,0,0.76,1.327,58.6,36.2,1,1,1,0,0,"C"
40,"S01","C003","South","vocational",19,-1.442,-0.612,17.4,12,"girl",-0.33,3,4,"majority_language",0,0,8.1,8.1,6.4,7.4,7.4,3,3,1,4.3,1.1,1,54.4,4,4,5,4,,2,4,5,4,4,4,4,4,3,2,1,2,2,3,1,1,1,1,1,,,,1,2,4,1,2,2,5,5,5,4,5,4,4,2,4,4,4,5,5,,,4,3,2,3,,2,2,2,4,3,1,1,1,1,1,0,1,0,1,1,1,0,0.923,0.668,63.3,59.7,1,1,1,0,0,"B"
41,"S01","C003","South","vocational",19,-1.442,-0.612,17.9,12,"girl",-0.99,2,1,"majority_language",0,0,6.1,5.9,6.7,6.6,5.7,5,4,3,3.3,1.6,2,48.7,4,3,4,3,4,5,3,4,4,,4,5,5,4,3,1,3,4,2,3,3,3,3,5,,,,2,1,4,2,2,1,4,4,2,,4,3,1,1,1,2,3,2,1,,,2,3,1,2,3,1,3,,3,4,1,1,0,1,0,0,1,0,1,0,0,0,,,,,1,1,1,0,0,"B"
42,"S01","C003","South","vocational",19,-1.442,-0.612,17.2,12,"boy",0.112,3,3,"other_language",0,0,6.2,6.6,6.7,6.9,6.5,0,4,3,3.7,1.9,3,43.1,4,4,4,3,1,4,3,2,3,2,4,4,3,4,3,1,2,1,1,1,,1,1,1,3,3,1,1,1,1,1,2,2,3,4,3,4,4,2,2,,3,2,2,3,2,1,3,2,3,3,5,3,,1,3,4,4,0,0,0,0,,0,0,0,0,0,0,,0.655,-0.326,43.5,29.3,1,1,0,0,0,"A"
43,"S01","C003","South","vocational",19,-1.442,-0.612,18.1,12,"boy",0.595,4,4,"other_language",0,0,6.6,,,7,6.4,4,,,3.6,3.1,1,42.6,2,3,3,5,3,,,,,,,,,,,4,3,3,4,4,3,,,,,,,,,,,,,4,5,3,3,3,,,,,,,,,,,2,4,3,2,3,2,2,2,1,2,1,1,0,,1,1,0,0,0,0,0,0,0.835,1.263,65.4,54.4,1,1,1,1,1,"B"
44,"S01","C003","South","vocational",19,-1.442,-0.612,17.9,12,"girl",-0.568,3,2,"majority_language",0,0,6.1,6.1,6.8,6.2,7.4,6,6,3,6.3,1.9,1,37.4,5,,1,2,,4,3,3,5,4,5,4,5,5,4,2,,,2,3,4,2,2,2,,,,3,2,3,3,3,4,5,4,,4,4,4,,3,5,4,4,5,5,,,3,4,4,4,3,4,4,3,2,,1,0,0,0,1,1,1,0,0,1,0,0,0.888,-0.632,36.9,43.4,1,1,1,0,0,"B"
45,"S01","C003","South","vocational",19,-1.442,-0.612,17.7,12,"girl",0.63,3,2,"majority_language",0,0,6.7,6.9,,6.7,6.6,1,1,,4.4,2.2,1,41.1,3,4,3,2,1,,,4,4,3,,,,,,3,5,4,3,3,4,2,3,3,,,,,,,,,,4,3,4,4,3,3,5,5,5,5,,,,,,4,,2,2,2,4,4,4,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0.763,-0.024,49,42.9,1,1,1,0,1,"B"
46,"S01","C003","South","vocational",19,-1.442,-0.612,17.4,12,"girl",0.722,3,5,"majority_language",0,0,7.1,6.7,6.7,6.1,6.2,3,7,6,8.2,3.3,2,56.3,5,3,4,5,,2,3,,3,3,2,3,4,2,2,3,3,2,4,3,3,1,1,1,2,1,,3,2,1,3,3,1,4,5,3,5,4,2,4,2,2,3,3,5,4,4,5,3,5,3,4,5,1,1,3,3,3,1,0,0,,0,1,0,0,0,,0,0,0.871,-1.035,58.8,49.8,1,1,0,0,0,"A"
47,"S01","C003","South","vocational",19,-1.442,-0.612,17.4,12,"girl",-1.451,1,2,"majority_language",0,0,6.4,6.1,6.3,6.4,7.5,10,6,3,2.6,1.4,2,37.9,4,2,3,2,,5,3,3,4,5,3,3,5,5,4,2,,3,3,4,3,3,3,3,,,,1,2,2,3,3,4,2,2,3,4,3,1,3,1,3,1,3,4,4,,,1,4,,,3,3,2,,2,4,1,1,0,0,1,0,1,0,0,0,0,0,0.506,-0.91,57.3,44.1,1,1,1,0,0,"B"
48,"S01","C003","South","vocational",19,-1.442,-0.612,17.8,12,"boy",-0.241,3,4,"other_language",0,0,7.6,7.7,7.1,7.8,7.4,0,6,2,6.9,4.2,4,50.2,4,5,5,4,5,,5,3,3,4,4,5,3,3,5,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,4,3,3,4,5,2,3,4,4,3,2,4,3,3,3,4,4,5,3,4,3,3,2,4,3,1,1,1,1,1,1,1,1,0,1,1,0,0.881,0.087,59.8,52.3,0,1,0,0,0,"A"
49,"S01","C003","South","vocational",19,-1.442,-0.612,17.2,12,"boy",0.54,4,1,"majority_language",0,0,6.3,6.7,,6.3,6.5,4,11,,4.5,1.6,3,41.8,4,3,3,2,3,3,1,3,4,2,,,,,,4,3,3,4,2,1,5,4,3,2,3,3,,,,,,,1,1,2,1,3,2,2,1,2,3,,,,,,3,3,5,4,5,4,3,4,3,4,0,1,1,1,1,0,0,0,0,0,0,1,0.546,-0.844,54.7,39.7,0,0,1,0,1,"A"
50,"S01","C003","South","vocational",19,-1.442,-0.612,17.5,12,"girl",-1.032,1,1,"majority_language",0,0,7.5,6.7,6.7,6.5,5.4,3,13,3,4.1,4.2,4,55.9,4,5,4,3,3,5,2,5,4,4,5,5,4,3,,4,3,3,3,1,1,3,2,3,,,,3,2,3,3,1,2,4,4,2,5,4,4,4,4,2,4,4,5,4,,,4,4,4,4,4,4,4,,,4,1,1,1,0,0,1,0,0,1,0,0,0,0.51,-0.502,29.5,38.2,1,1,1,0,0,"B"
51,"S01","C003","South","vocational",19,-1.442,-0.612,17.2,12,"girl",-1.171,2,2,"majority_language",0,0,5.6,5.4,5.5,5.1,5.5,22,11,6,2.9,3.8,1,50.8,3,3,4,,4,2,,3,,,1,2,2,2,2,1,3,3,1,4,2,5,5,4,5,5,5,3,3,4,,,,2,1,2,1,1,2,2,2,3,2,4,5,4,4,4,4,4,5,4,5,2,2,3,,2,1,0,0,0,1,0,0,0,0,0,0,0,,,,,1,1,1,0,0,"C"
